day_of_lab,location,body_height
Tuesday,pond,3
Wednesday,pond,5
Friday,pond,5.84
Wednesday,pond,6.3
Wednesday,pond,6.37
Tuesday,pond,6.42
Tuesday,lake,6.6
Tuesday,lake,7.25
Friday,lake,9.39
Friday,lake,9.44
Thursday,lake,9.68
Wednesday,lake,10.61
Friday,lake,10.63
Tuesday,lake,10.8
Wednesday,lake,10.8
Friday,lake,10.81
Wednesday,lake,10.87
Friday,lake,10.91
Thursday,lake,11.02
Wednesday,lake,11.03
Thursday,lake,11.06
Wednesday,lake,11.3
Friday,lake,11.41
Wednesday,lake,11.46
Thursday,lake,11.5
Thursday,lake,11.8
Thursday,lake,12.2
Wednesday,lake,12.21
Wednesday,lake,12.5
Wednesday,lake,13
Thursday,lake,13.11
Wednesday,lake,13.53
Tuesday,pond,6.7
Wednesday,pond,6.73
Tuesday,pond,6.8
Thursday,pond,6.8
Friday,pond,6.93
Wednesday,pond,7.15
Wednesday,pond,7.45
Friday,pond,7.45
Tuesday,pond,7.49
Thursday,pond,7.5
Wednesday,pond,7.58
Friday,pond,7.612
Thursday,pond,7.751
Tuesday,pond,7.8
Wednesday,pond,7.8
Thursday,pond,7.8
Thursday,pond,8.03
Friday,pond,8.17
Wednesday,pond,8.18
Wednesday,pond,8.3
Thursday,pond,8.43
Thursday,pond,8.43
Thursday,pond,8.5
Tuesday,pond,8.58
Friday,pond,8.6
Friday,pond,8.61
Friday,pond,8.63
Friday,pond,8.65
Tuesday,pond,8.5
Tuesday,lake,8.69
Tuesday,lake,8.72
Tuesday,lake,8.74
Thursday,pond,8.741
Thursday,pond,8.9
Friday,pond,8.91
Tuesday,lake,9.1
Tuesday,pond,9.2
Friday,lake,9.48
Tuesday,pond,9.5
Tuesday,lake,9.7
Thursday,pond,9.9
Friday,lake,9.96
Friday,lake,9.97
Thursday,lake,10
Friday,lake,10.03
Tuesday,pond,10.05
Tuesday,lake,10.1
Thursday,lake,10.3
Thursday,lake,10.31
